Model,Total Tests,Successful Tests,Failed Tests,Overall Accuracy,Unique CVEs,Avg Tests per CVE,Best CVE Accuracy,Worst CVE Accuracy,Std Dev CVE Accuracy
moonshotai-kimi-k2.5_c_cpp_hint,500,445,55,0.890,277,1.8,1.000,0.000,0.277
anthropic-claude-opus-4.6_c_cpp_hint,500,442,58,0.884,277,1.8,1.000,0.000,0.280
z-ai-glm-5_c_cpp_hint,500,440,60,0.880,277,1.8,1.000,0.000,0.287
z-ai-glm-5_c_cpp,500,439,61,0.878,277,1.8,1.000,0.000,0.317
openai-gpt-5.4_c_cpp_hint,500,434,66,0.868,277,1.8,1.000,0.000,0.289
openai-gpt-5.4_c_cpp,500,433,67,0.866,277,1.8,1.000,0.000,0.305
google-gemini-3-flash-preview_c_cpp_hint,500,433,67,0.866,277,1.8,1.000,0.000,0.312
anthropic-claude-opus-4.6_c_cpp,500,432,68,0.864,277,1.8,1.000,0.000,0.327
minimax-minimax-m2.5_c_cpp_hint,500,430,70,0.860,277,1.8,1.000,0.000,0.308
moonshotai-kimi-k2.5_c_cpp,500,429,71,0.858,277,1.8,1.000,0.000,0.330
openai-gpt-5.4_java_hint,500,426,74,0.852,171,2.9,1.000,0.000,0.233
openai-gpt-5.4_java,500,423,77,0.846,171,2.9,1.000,0.000,0.269
anthropic-claude-opus-4.6_java_hint,500,422,78,0.844,171,2.9,1.000,0.000,0.263
anthropic-claude-sonnet-4.6_c_cpp_hint,500,420,80,0.840,277,1.8,1.000,0.000,0.332
z-ai-glm-5_java_hint,500,419,81,0.838,171,2.9,1.000,0.000,0.260
minimax-minimax-m2.5_c_cpp,500,419,81,0.838,277,1.8,1.000,0.000,0.340
z-ai-glm-5_java,500,418,82,0.836,171,2.9,1.000,0.000,0.287
google-gemini-3-flash-preview_c_cpp,500,418,82,0.836,277,1.8,1.000,0.000,0.352
moonshotai-kimi-k2.5_java_hint,500,418,82,0.836,171,2.9,1.000,0.000,0.282
anthropic-claude-opus-4.6_java,500,417,83,0.834,171,2.9,1.000,0.000,0.256
anthropic-claude-3.5-sonnet_java_hint,500,415,85,0.830,171,2.9,1.000,0.000,0.247
google-gemini-3-flash-preview_java_hint,500,410,90,0.820,171,2.9,1.000,0.000,0.256
minimax-minimax-m2.5_java_hint,500,408,92,0.816,171,2.9,1.000,0.000,0.275
moonshotai-kimi-k2.5_java,500,407,93,0.814,171,2.9,1.000,0.000,0.314
anthropic-claude-sonnet-4.6_java_hint,500,406,94,0.812,171,2.9,1.000,0.000,0.278
anthropic-claude-sonnet-4.6_c_cpp,500,404,96,0.808,277,1.8,1.000,0.000,0.353
google-gemini-3-flash-preview_java,500,401,99,0.802,171,2.9,1.000,0.000,0.282
anthropic-claude-3.5-sonnet_c_cpp_hint,500,399,101,0.798,277,1.8,1.000,0.000,0.372
google-gemini-3.1-flash-lite-preview_java_hint,500,398,102,0.796,171,2.9,1.000,0.000,0.278
minimax-minimax-m2.5_java,500,396,104,0.792,171,2.9,1.000,0.000,0.296
anthropic-claude-sonnet-4.6_java,500,391,109,0.782,171,2.9,1.000,0.000,0.313
google-gemini-3.1-flash-lite-preview_c_cpp_hint,500,389,111,0.778,277,1.8,1.000,0.000,0.399
meta-llama-llama-3-70b-instruct_java_hint,497,384,113,0.773,171,2.9,1.000,0.000,0.282
anthropic-claude-3.5-sonnet_c_cpp,500,376,124,0.752,277,1.8,1.000,0.000,0.396
google-gemini-3.1-flash-lite-preview_java,500,371,129,0.742,171,2.9,1.000,0.000,0.331
anthropic-claude-3.5-sonnet_java,500,369,131,0.738,171,2.9,1.000,0.000,0.334
meta-llama-llama-3-70b-instruct_java,497,364,133,0.732,171,2.9,1.000,0.000,0.334
meta-llama-llama-3-70b-instruct_c_cpp_hint,499,360,139,0.721,276,1.8,1.000,0.000,0.422
meta-llama-llama-3-70b-instruct_c_cpp,499,359,140,0.719,276,1.8,1.000,0.000,0.413
google-gemini-3.1-flash-lite-preview_c_cpp,500,355,145,0.710,277,1.8,1.000,0.000,0.428
qwen-qwen3-coder-next_java_hint,500,348,152,0.696,171,2.9,1.000,0.000,0.339
deepseek-deepseek-v3.2_java_hint,500,347,153,0.694,171,2.9,1.000,0.000,0.351
mistralai-codestral-2508_c_cpp,500,340,160,0.680,277,1.8,1.000,0.000,0.396
qwen-qwen3-coder-next_c_cpp_hint,500,339,161,0.678,277,1.8,1.000,0.000,0.414
deepseek-deepseek-v3.2_c_cpp_hint,500,330,170,0.660,277,1.8,1.000,0.000,0.423
qwen-qwen3-coder-next_java,500,329,171,0.658,171,2.9,1.000,0.000,0.363
deepseek-deepseek-v3.2_java,500,328,172,0.656,171,2.9,1.000,0.000,0.369
deepseek-deepseek-v3.2_c_cpp,500,326,174,0.652,277,1.8,1.000,0.000,0.426
mistralai-codestral-2508_java,500,323,177,0.646,171,2.9,1.000,0.000,0.381
qwen-qwen3-coder-next_c_cpp,500,322,178,0.644,277,1.8,1.000,0.000,0.428
mistralai-codestral-2508_c_cpp_hint,500,304,196,0.608,277,1.8,1.000,0.000,0.433
mistralai-mistral-large-2512_java_hint,500,294,206,0.588,171,2.9,1.000,0.000,0.395
mistralai-codestral-2508_java_hint,500,290,210,0.580,171,2.9,1.000,0.000,0.385
mistralai-mistral-large-2512_c_cpp_hint,500,274,226,0.548,277,1.8,1.000,0.000,0.438
mistralai-mistral-large-2512_java,500,244,256,0.488,171,2.9,1.000,0.000,0.398
mistralai-mistral-large-2512_c_cpp,500,240,260,0.480,277,1.8,1.000,0.000,0.444
